ⲁ	a	a
ⲃ	b	b
ⲅ	g	g
ⲇ	d	d
ⲉ	e	e
ⲍ	z	z
ⲏ	ê	E
ⲑ	th	th
ⲓ	i	i
ⲕ	k	k
ⲗ	l	l
ⲙ	m	m
ⲛ	n	n
ⲝ	ks	ks
ⲟ	o	o
ⲡ	p	p
ⲣ	r	r
ⲥ	s	s
ⲧ	t	t
ⲩ	u	u
ⲫ	ph	ph
ⲯ	ps	ps
ⲱ	ô	o_
ϣ	š	S
ϥ	f	f
ϩ	h	h
ϧ	x	x
ϫ	č	j
ϭ	c	c
ϯ	ti	ti
ⳉ	x’	X
ⳃ	ç	C
ⳋ	ç’	ç’
