						
		Forms	Absolute	Prenominal	Pre- pronominal	Qualitative
		to bring	ⲉⲓⲛⲉ	ⲛ-	ⲛⲧ=	
		to do, make	ⲉⲓⲣⲉ	ⲣ-	ⲁⲁ=	ⲟ
		to ask, seek	ϣⲓⲛⲉ	ϣⲛ-	ϣⲛⲧ=	
		to find	ϭⲓⲛⲉ	ϭⲛ-	ϭⲛⲧ=	
	cⲓc	to measure	ϣⲓ	ϣⲓ-	ϣⲓⲧ=	ϣⲏⲩ
		to raise, take up	ϥⲓ	ϥⲓ-	ϥⲓⲧ=	ϥⲏⲩ
		to get, take	ϫⲓ	ϫⲓ-	ϫⲓⲧ=	ϫⲏⲩ
	Irregluar	to give	ϯ	ϯ-	ⲧⲁⲁ=	ⲧⲟ
						
Irregular		to wash	ⲉⲓⲱ	ⲉⲓⲁ-	ⲉⲓⲁⲁ=	ⲉⲓⲏ
		to put	ⲕⲱ	ⲕⲁ-	ⲕⲁⲁ=	ⲕⲏ
		to drink	ⲥⲱ	ⲥⲉ-	ⲥⲟⲟ=	
		to say	ϫⲱ	ϫⲉ-	ϫⲟⲟ=	
